Robot_ID,Task_Type,Component_ID,Sensor_Type,Sensor_Data,Processing_Time (s),Accuracy (%),Environmental_Status,Energy_Consumption (kWh),Human_Intervention_Needed,Obstacle_Detected,Defect_Detected
RBT_001,Inspection,CMP_460,LIDAR,1 (obstacle detected),67.0,90.4,Stable,2.2,No,Yes,Yes
RBT_002,Assembly,CMP_252,Thermal,85.3 (°C),71.2,98.1,Stable,2.7,Yes,No,No
RBT_003,Inspection,CMP_248,Thermal,92% (visual fit),49.2,95.3,Unstable,2.4,No,No,No
RBT_004,Welding,CMP_433,Camera,98% (defect-free),74.5,90.2,Stable,2.4,Yes,No,Yes
RBT_005,Assembly,CMP_992,Camera,92% (visual fit),64.5,97.2,Unstable,1.8,No,No,No
RBT_006,Painting,CMP_309,Thermal,1 (obstacle detected),51.6,93.4,Unstable,1.5,No,No,No
RBT_007,Assembly,CMP_637,Thermal,1 (obstacle detected),50.9,95.5,Stable,1.8,Yes,No,Yes
RBT_008,Inspection,CMP_571,Camera,85.3 (°C),61.7,90.2,Unstable,2.3,Yes,Yes,No
RBT_009,Assembly,CMP_630,Camera,0 (clear path),49.4,92.9,Stable,1.7,Yes,Yes,No
RBT_010,Painting,CMP_617,LIDAR,0 (no obstacle),65.1,94.1,Stable,2.9,No,No,No
RBT_011,Assembly,CMP_567,Camera,0 (no obstacle),48.5,96.1,Unstable,2.6,Yes,Yes,Yes
RBT_012,Painting,CMP_268,LIDAR,75.8 (°C),44.8,99.6,Stable,2.2,No,Yes,No
RBT_013,Inspection,CMP_631,Thermal,98% (defect-free),53.2,93.8,Unstable,2.0,No,No,No
RBT_014,Inspection,CMP_115,Camera,82.4 (°C),41.7,92.0,Stable,2.2,Yes,No,No
RBT_015,Inspection,CMP_932,LIDAR + Camera,92% (visual fit),50.0,91.3,Stable,2.8,Yes,No,Yes
RBT_016,Assembly,CMP_424,LIDAR + Camera,92% (visual fit),57.0,98.1,Unstable,1.6,Yes,Yes,No
RBT_017,Inspection,CMP_201,Camera,0 (no obstacle),78.1,98.9,Stable,2.9,Yes,Yes,Yes
RBT_018,Painting,CMP_262,LIDAR + Camera,92% (visual fit),49.3,92.0,Unstable,1.8,Yes,No,Yes
RBT_019,Inspection,CMP_742,LIDAR + Camera,1 (obstacle detected),78.9,98.5,Unstable,2.4,Yes,No,Yes
RBT_020,Painting,CMP_370,Thermal,0 (no obstacle),75.6,98.7,Stable,1.1,Yes,Yes,No
RBT_021,Painting,CMP_926,LIDAR + Camera,92% (visual fit),79.3,97.7,Unstable,2.6,No,No,Yes
RBT_022,Painting,CMP_904,Camera,98% (defect-free),59.8,90.1,Stable,2.6,No,Yes,No
RBT_023,Assembly,CMP_308,Thermal,92% (visual fit),78.3,99.3,Stable,1.3,No,No,Yes
RBT_024,Welding,CMP_105,Camera,0 (no obstacle),55.1,92.0,Stable,2.2,Yes,No,Yes
RBT_025,Inspection,CMP_968,LIDAR,1 (obstacle detected),72.6,99.3,Unstable,2.5,No,Yes,No
RBT_026,Painting,CMP_443,LIDAR,98% (defect-free),69.4,95.2,Stable,2.0,Yes,No,No
RBT_027,Assembly,CMP_864,LIDAR + Camera,75.8 (°C),44.4,95.6,Stable,2.2,Yes,Yes,Yes
RBT_028,Welding,CMP_123,Thermal,85.3 (°C),57.9,95.2,Stable,3.0,No,Yes,No
RBT_029,Assembly,CMP_972,Camera,82.4 (°C),61.3,92.2,Stable,2.3,Yes,No,No
RBT_030,Painting,CMP_853,Camera,0 (no obstacle),44.8,93.8,Stable,2.9,Yes,No,Yes
RBT_031,Welding,CMP_933,Camera,0 (no obstacle),50.5,98.5,Stable,2.7,No,No,Yes
RBT_032,Assembly,CMP_948,Camera,98% (defect-free),49.5,92.5,Unstable,2.7,No,No,No
RBT_033,Painting,CMP_788,LIDAR,1 (obstacle detected),73.4,99.5,Stable,1.2,No,Yes,Yes
RBT_034,Welding,CMP_995,LIDAR,0 (no obstacle),52.9,97.4,Unstable,1.0,Yes,No,No
RBT_035,Welding,CMP_789,Thermal,82.4 (°C),66.2,98.3,Unstable,2.2,No,Yes,Yes
RBT_036,Welding,CMP_966,Camera,85.3 (°C),45.4,96.2,Stable,1.3,Yes,Yes,No
RBT_037,Welding,CMP_298,Thermal,0 (clear path),51.7,95.5,Stable,1.6,No,No,Yes
RBT_038,Assembly,CMP_425,Thermal,1 (obstacle detected),79.7,94.9,Stable,2.4,Yes,Yes,Yes
RBT_039,Painting,CMP_514,Camera,82.4 (°C),60.2,98.7,Stable,2.6,No,No,Yes
RBT_040,Inspection,CMP_224,Thermal,98% (defect-free),55.7,98.0,Stable,2.3,Yes,Yes,No
RBT_041,Welding,CMP_856,LIDAR + Camera,75.8 (°C),59.4,93.2,Stable,1.3,Yes,Yes,No
RBT_042,Welding,CMP_461,LIDAR + Camera,98% (defect-free),40.9,94.3,Stable,1.0,No,Yes,Yes
RBT_043,Inspection,CMP_373,Camera,0 (no obstacle),53.2,90.8,Unstable,1.2,No,Yes,No
RBT_044,Painting,CMP_658,LIDAR,0 (no obstacle),73.5,97.8,Stable,1.3,No,No,Yes
