,Open,High,Low,Close,Volume,Name,is_weekend
2006-01-03,211.47,218.05,209.32,217.83,13137450.0,GOOGL,0
2006-01-04,222.17,224.7,220.09,222.84,15292353.0,GOOGL,0
2006-01-05,223.22,226.0,220.97,225.85,10815661.0,GOOGL,0
2006-01-06,228.66,235.49,226.85,233.06,17759521.0,GOOGL,0
2006-01-07,230.25333333333333,235.97333333333333,228.13333333333333,233.26666666666668,11812756.270235231,,1
2006-01-08,231.84666666666666,236.45666666666668,229.41666666666666,233.47333333333333,10649633.780682033,,1
2006-01-09,233.44,236.94,230.7,233.68,12795837.0,GOOGL,0
2006-01-10,232.44,235.36,231.25,235.11,9104719.0,GOOGL,0
2006-01-11,235.87,237.79,234.82,236.05,9008664.0,GOOGL,0
2006-01-12,237.1,237.73,230.98,232.05,10125212.0,GOOGL,0
2006-01-13,232.39,233.68,231.04,233.36,7660220.0,GOOGL,0
2006-01-14,232.2325,234.055,231.155,233.4675,7209430.047916291,,1
2006-01-15,232.075,234.43,231.26999999999998,233.575,7094946.100074158,,1
2006-01-16,231.9175,234.805,231.385,233.6825,6925118.859083666,,0
2006-01-17,231.76,235.18,231.5,233.79,8335300.0,GOOGL,0
2006-01-18,223.87,228.91,221.85,222.68,20511176.0,GOOGL,0
2006-01-19,225.81,226.97,216.72,218.44,14539830.0,GOOGL,0
2006-01-20,219.57,220.24,197.57,199.93,41182889.0,GOOGL,0
2006-01-21,214.34333333333333,218.29666666666668,199.40333333333334,204.60666666666668,31004561.495175086,,1
2006-01-22,209.11666666666665,216.35333333333332,201.23666666666665,209.28333333333333,26457308.8699171,,1
2006-01-23,203.89,214.41,203.07,213.96,22768073.0,GOOGL,0
2006-01-24,218.23,222.7,217.46,221.74,15468453.0,GOOGL,0
2006-01-25,225.86,227.34,214.82,216.72,18746567.0,GOOGL,0
2006-01-26,219.99,220.22,211.99,217.35,12931382.0,GOOGL,0
2006-01-27,217.72,219.33,214.7,216.96,8459747.0,GOOGL,0
